,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,platforma,id_razlicice,id_modela
997,FORD,Focus 5 Doors,Focus ST 5 Doors,HATCHBACK,,BENCIN,5,,,55.0,1.4,https://www.bolha.com/avto-oglasi/ford-focus-letnik-2000-229000-km-1.4-55kw-bencin-deli-delih-r-oglas-1581845,"Ford Focus, letnik 2000, 229000 km, 1.4 55kw bencin deli po delih r...",2000.0,229000.0,,bolha,8735.0,924.0
998,FIAT,Croma,Croma,SPREMENLJIV,AVTOMATSKI,DIEZEL,4,,,147.0,2.4,https://www.bolha.com/avto-oglasi/fiat-croma-letnik-2006-255000-km-diesel-oglas-1581758,"Fiat Croma, letnik 2006, 255000 km, diesel",2006.0,255000.0,1619.0,bolha,8317.0,884.0
999,OPEL,Astra 5 Doors,Astra 5 Doors,SPREMENLJIV,,DIEZEL,4,,,,1.7,https://www.bolha.com/avto-oglasi/opel-astra-h-letnik-2004-280000-km-1.7-diesel-deli-delih-reze-oglas-1581726,"Opel Astra H, letnik 2004, 280000 km, 1.7 diesel deli po delih reze...",2004.0,280000.0,,bolha,18900.0,1908.0
1000,OPEL,Astra 5 Doors,Astra 5 Doors,SPREMENLJIV,ROČNI,DIEZEL,5,,,,1.7,https://www.bolha.com/avto-oglasi/opel-astra-h-letnik-2004-280000-km-1.7-diesel-deli-delih-reze-oglas-1582893,"Opel Astra H, letnik 2004, 280000 km, 1.7 karavan limuzina",2004.0,280000.0,,bolha,18899.0,1908.0
1001,Fiat,Punto,N/A,SPREMENLJIV,,BENCIN,5,,,57.0,1.4,https://www.bolha.com/avto-oglasi/fiat-punto-letnik-2012-37000-km-bencin-oglas-1582869,"Fiat Punto, letnik 2012, 37000 km, bencin",2012.0,37000.0,,bolha,,
1002,Fiat,Grande Punto,N/A,SPREMENLJIV,,BENCIN,4,,,,1.337,https://www.bolha.com/avto-oglasi/fiat-grande-punto-letnik-2000-1337-km-bencin-oglas-1582780,"Fiat Grande Punto, letnik 2007, bencin 1.2 8v",2007.0,222200.0,,bolha,,
1003,FIAT,Grande Punto / Punto Evo 3 Doors,Grande Punto 3 Doors,HATCHBACK,ROČNI,BENCIN,4,,,44.0,1.2,https://www.bolha.com/avto-oglasi/fiat-punto-letnik-2003-146k-prevozenih-bencin-1.2-8v-deli-del-oglas-1582658,"Fiat Punto, letnik 2003, 146k prevoženih, bencin 1.2 8v deli po del...",2003.0,1337.0,,bolha,8358.0,888.0
1004,VW,Passat,N/A,HATCHBACK,,DIEZEL,4,,,77.0,1.9,https://www.bolha.com/avto-oglasi/vw-passat-letnik-2006-220000-km-diesel-oglas-1582465,"VW Passat, letnik 2006, 220000 km, diesel",2006.0,220000.0,,bolha,,
1005,PEUGEOT,207 3 Doors,207 3 Doors,HATCHBACK,,BENCIN,4,,,,1.4,https://www.bolha.com/avto-oglasi/peugeot-207-1.4-16v-sport-letnik-2006-95000-km-bencin-deli-de-oglas-1582463,"Peugeot 207 1.4 16v sport, letnik 2006, 95000 km, bencin deli po de...",2006.0,95000.0,,bolha,20586.0,2014.0
1006,VOLKSWAGEN,Sharan,Sharan,SPREMENLJIV,,DIEZEL,4,,,85.0,1.9,https://www.bolha.com/avto-oglasi/vw-sharan-letnik-2005-258000-km-diesel-oglas-1583437,"VW Sharan, letnik 2005, 258000 km, diesel",2005.0,258000.0,,bolha,27832.0,2655.0
1007,FIAT,Grande Punto / Punto Evo 3 Doors,Grande Punto 3 Doors,HATCHBACK,,DIEZEL,4,,,,1.3,https://www.bolha.com/avto-oglasi/fiat-grande-punto-letnik-2007-195000-km-1.3-diesel-deli-delih-oglas-1583134,"Fiat Grande Punto, letnik 2007, 195000 km, 1.3 66kw deli po delih...",2007.0,195000.0,,bolha,8362.0,888.0
